;Вопрос;Тип обращения;Обращение;Ответ
original;В данный момент мой домашний интернет снова не грузит.;Интернет;"At the moment, my home internet is not loading again.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;В настоящий момент мой домашний интернет снова не загружается.;Интернет;"At the moment, my home internet is not loading again.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;На данный момент интернет в моем доме снова не загружается.;Интернет;"At the moment, my home internet is not loading again.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Доброе утро! Нет интернета.;Интернет;"Good morning! No Internet.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Доброе утро! Нет интернета.;Интернет;"Good morning! No Internet.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;доброе утро! Нет интернета.;Интернет;"Good morning! No Internet.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Добрый день, скорость интернета упала, в чем может быть проблема?;Интернет;"Good afternoon, internet speed has dropped, what could be the problem?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_ang;Добрый день, упала скорость интернета, в чем может быть проблема?;Интернет;"Good afternoon, internet speed has dropped, what could be the problem?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_arab;Добрый вечер, скорость интернета упала, в чем проблема?;Интернет;"Good afternoon, internet speed has dropped, what could be the problem?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
original;ноутбук не работает в сети пишет соединение ограниченно;Интернет;"the laptop does not work on the network writes the connection is limited
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;ноут не работает в сети пишет соединение ограничено;Интернет;"the laptop does not work on the network writes the connection is limited
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Ноутбук не работает в сети пишет подключение ограничено;Интернет;"the laptop does not work on the network writes the connection is limited
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Здравствуйте, можно ли скорость интернета увеличить?;Интернет;"Hello, is it possible to increase the speed of the Internet?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_ang;Здравствуйте, а можно ли увеличить скорость интернета?;Интернет;"Hello, is it possible to increase the speed of the Internet?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_arab;Здравствуйте, а можно ли увеличить скорость интернета?;Интернет;"Hello, is it possible to increase the speed of the Internet?
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
original;Интернет не видит одно устройство хотя остальные видят;Интернет;"The Internet does not see one device, although the rest can see
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Интернет не видит одно устройство, хотя остальные могут видеть;Интернет;"The Internet does not see one device, although the rest can see
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Интернет не видит ни одного устройства, хотя другие могут его видеть;Интернет;"The Internet does not see one device, although the rest can see
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;День добрый,подскажите,почему роутер постоянно отключает вайфай?;Интернет;"Good afternoon, tell me why the router constantly turns off the Wi-Fi?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Добрый день, подскажите, почему роутер постоянно отключает Wi-Fi?;Интернет;"Good afternoon, tell me why the router constantly turns off the Wi-Fi?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Добрый вечер, подскажите, а почему у меня роутер постоянно отключает Wi-Fi?;Интернет;"Good afternoon, tell me why the router constantly turns off the Wi-Fi?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Пополнили счёт, но интернет не подключился.;Интернет;"We replenished the account, but the Internet was not connected.
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
from_ang;Мы пополнили счет, но интернет не был подключен.;Интернет;"We replenished the account, but the Internet was not connected.
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
from_arab;Мы добавили учетную запись, но интернет не был подключен.;Интернет;"We replenished the account, but the Internet was not connected.
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
